RODAL,fecha,GRADO.REVISADO
GR000006,1993,1
GR000006,1994,1
GR000006,1995,0
GR000006,1996,0
GR000006,1997,1
GR000006,1998,2
GR000006,1999,4
GR000006,2000,1
GR000006,2001,0
GR000006,2002,0
GR000006,2003,2
GR000006,2004,1
GR000006,2005,0
GR000006,2006,0
GR000006,2007,1
GR000006,2008,0
GR000006,2009,0
GR000006,2010,0
GR000006,2011,0
GR000006,2012,0
GR000006,2013,0
GR000006,2014,0
GR000006,2015,0
GR023008,1993,1
GR023008,1994,0
GR023008,1995,0
GR023008,1996,0
GR023008,1997,1
GR023008,1998,1
GR023008,1999,4
GR023008,2000,0
GR023008,2001,0
GR023008,2002,0
GR023008,2003,1
GR023008,2004,1
GR023008,2005,0
GR023008,2006,0
GR023008,2007,0
GR023008,2008,0
GR023008,2009,0
GR023008,2010,0
GR023008,2011,0
GR023008,2012,0
GR023008,2013,0
GR023008,2014,0
GR023008,2015,0
GR023012,2004,2
GR023012,2005,1
GR023012,2006,0
GR023012,2007,0
GR023012,2008,1
GR023012,2009,1
GR023012,2010,1
GR023012,2011,1
GR023012,2012,0
GR023012,2013,0
GR023012,2014,0
GR023012,2015,0
GR023015,1993,4
GR023015,1994,0
GR023015,1995,0
GR023015,1996,1
GR023015,1997,1
GR023015,1998,3
GR023015,1999,3
GR023015,2000,1
GR023015,2001,0
GR023015,2002,1
GR023015,2003,1
GR023015,2004,0
GR023015,2005,0
GR023015,2006,0
GR023015,2007,0
GR023015,2008,0
GR023015,2009,1
GR023015,2010,1
GR023015,2011,1
GR023015,2012,0
GR023015,2013,0
GR023015,2014,0
GR023015,2015,0
GR023017,1993,1
GR023017,1994,0
GR023017,1995,3
GR023017,1996,0
GR023017,1997,1
GR023017,1998,0
GR023017,1999,1
GR023017,2000,0
GR023017,2001,0
GR023017,2002,0
GR023017,2003,0
GR023017,2004,0
GR023017,2005,0
GR023017,2006,0
GR023017,2007,0
GR023017,2008,0
GR023017,2009,0
GR023017,2010,0
GR023017,2011,0
GR023017,2012,0
GR023017,2013,0
GR023017,2014,0
GR023017,2015,0
GR023021,1993,0
GR023021,1994,0
GR023021,1995,0
GR023021,1996,0
GR023021,1997,0
GR023021,1998,0
GR023021,1999,0
GR023021,2000,0
GR023021,2001,0
GR023021,2002,0
GR023021,2003,0
GR023021,2004,0
GR023021,2005,0
GR023021,2006,0
GR023021,2007,0
GR023021,2008,0
GR023021,2009,0
GR023021,2010,0
GR023021,2011,0
GR023021,2012,0
GR023021,2013,0
GR023021,2014,0
GR023021,2015,0
